Artist;Anger;Article;Death;Family;Friends;Home;I;Money;Negate;Negemo;Optim;Other;Othref;Posemo;Posfeel;Preps;Pronoun;Relig;Sad;School;Self;Sexual;Swear;We;You
LangeFrans;0.006490621915103653;0.06080947680157945;0.0011599210266535044;0.005009871668311946;0.0028381046396841066;0.0013820335636722605;0.060414610069101676;0.002936821322803554;0.009106614017769002;0.018460019743336626;0.00384995064165844;0.01031589338598223;0.053010858835143136;0.018040473840078973;0.005256663376110564;0.07956564659427444;0.12657946692991115;0.0012092793682132279;0.0040967423494570575;0.0017769002961500497;0.06315399802566632;0.0023938795656465945;0.002492596248766041;0.00234452122408687;0.0361796643632774
DeKraaien;0.003903635958063797;0.03212134731206781;0.00011153245594467994;0.002230649118893598;0.0003345973678340397;0.003345973678340397;0.03970555431630605;0.003345973678340397;0.01215703769797011;0.010149453490965871;0.0005576622797233995;0.004795895605621236;0.08732991300468436;0.0227526210127147;0.0014499219272808388;0.08119562792772697;0.14019629712246265;0.0003345973678340397;0.0026767789426723177;0.0005576622797233995;0.042939995538701765;0.0010037921035021189;0.0021191166629489183;0.003122908766451037;0.07718045951371849
WillekeAlberti;0.0012626262626262627;0.036616161616161616;0.0;0.005050505050505051;0.006944444444444444;0.002525252525252525;0.06881313131313131;0.0031565656565656565;0.017676767676767676;0.02083333333333333;0.0006313131313131314;0.0037878787878787884;0.04166666666666666;0.027146464646464648;0.013257575757575758;0.08270202020202021;0.1268939393939394;0.0006313131313131314;0.011994949494949494;0.0018939393939393942;0.07512626262626262;0.0037878787878787884;0.0;0.006313131313131313;0.02525252525252525
Extince;0.0044438548782914375;0.04768853220136632;0.00046428334549313525;0.006102009683624063;0.0005306095377064404;0.0015255024209060155;0.0579027658022153;0.0013928500364794056;0.007295881143463555;0.013862174172580751;0.0020561119586124557;0.01107647409962194;0.053127279962857335;0.01293360748159448;0.0011275452676261855;0.07448431385554155;0.1223718246335478;0.0006632619221330503;0.003316309610665252;0.0012601976520527954;0.059494594415334626;0.0007295881143463554;0.0007959143065596604;0.0015255024209060155;0.03807123433043709
DoeMaar;0.002829931972789116;0.04076190476190476;0.0009251700680272107;0.008816326530612244;0.0005986394557823129;0.0034285714285714284;0.06198639455782313;0.0009795918367346938;0.01491156462585034;0.02106122448979592;0.0011972789115646258;0.013931972789115649;0.05616326530612245;0.014040816326530613;0.003156462585034013;0.07401360544217687;0.13708843537414964;0.0005442176870748299;0.00908843537414966;0.0017959183673469388;0.06644897959183674;0.0021224489795918368;0.002285714285714286;0.004299319727891157;0.03374149659863945
RobDeNijs;0.0023741040040177143;0.05697849609642515;0.0006848376934666484;0.005706980778888737;0.0014609870793955164;0.00424599369949322;0.0701730356572159;0.002328448157786605;0.012235766789937451;0.01702963064420399;0.003561156006026572;0.01734922156782176;0.05958087933159841;0.019038487878372826;0.006437474318586495;0.08546774414463773;0.1411678765465918;0.00429164954572433;0.0074875587819020215;0.0012327078482399672;0.07327763320093138;0.004109026160799891;4.565584623110989e-05;0.002602383235173264;0.033785326211021316
MarcoBorsato;0.0015983725661145017;0.054925893635571064;0.0002906131938390003;0.00038748425845200037;0.0007749685169040007;0.002954567470696503;0.08432626174561657;0.0018405502276470016;0.011333914559721013;0.01869611547030902;0.004746682166037005;0.007507507507507507;0.07749685169040008;0.029061319383900032;0.015160321611934513;0.08723239368400659;0.17616003099874067;0.0015983725661145017;0.01012302625205851;0.0002906131938390003;0.0877651845393781;0.0054247796183280045;4.8435532306500046e-05;0.0032936161968420037;0.06156156156156156
Nick&Simon;0.002294831165992788;0.043310385021673406;0.0002549812406658653;0.001712016901613667;0.0004735365898080356;0.0015298874439951915;0.06334462535970567;0.000874221396568681;0.010272101409682002;0.014788911958620187;0.003023348996466689;0.008377955050449859;0.0514333588314574;0.015990966378902124;0.0065930863657888035;0.07674935344042545;0.12843769351254872;0.0010563508541871565;0.007139474738644228;0.0007649437219975957;0.06687793683750409;0.0030597748879903834;3.6425891523695035e-05;0.003278330237132554;0.03835646377445088
KraantjePappie;0.0048274530357783245;0.04584701111693471;0.0009654906071556649;0.0065653361286585185;0.0014344431877741305;0.001710297646961463;0.04935036274861383;0.0048274530357783245;0.00766875396540785;0.015089238917547104;0.0048274530357783245;0.009461807950125514;0.051970980110893496;0.017240903699208297;0.004358500455159857;0.07139113403768171;0.11321067005048135;0.0012413450663429975;0.002868886375548261;0.000496538026537199;0.05161236931394996;0.00336542440208546;0.002951642713304461;0.002124079335742462;0.03842652616479545
HetGoedeDoel;0.004601371020753122;0.04939430932481923;0.0009390553103577801;0.003662315710395342;0.004037937834538454;0.004037937834538454;0.07503051929758663;0.0035684101793595647;0.01746642877265471;0.024791060193445395;0.0021598272138228947;0.015870034745046484;0.052681002911071466;0.019156728331298712;0.008169781200112686;0.0828246783735562;0.14198516292609634;0.0012207719034651142;0.011832096910508029;0.000657338717250446;0.07531223589069397;0.0025354493379660067;9.3905531035778e-05;0.00028171659310733397;0.02882899802798385
