Artist;Anger;Negate;Negemo;Optim;Posemo;Posfeel;Sad;Swear
MissMontreal;0.002400960384153661;0.0;0.020408163265306117;0.01680672268907563;0.0312124849939976;0.006002400960384154;0.014405762304921969;0.0012004801920768304
DePoema's;0.0032993401319736052;0.02369526094781044;0.02609478104379124;0.0026994601079784047;0.024595080983803242;0.007498500299940013;0.010797840431913616;0.0
DiggyDex;0.0024495312104062844;0.009122392093926852;0.014274854295126278;0.007939859785454853;0.023988512543289132;0.005490328575048569;0.00506799560773714;0.0009291325280851424
Maan;0.0;0.011409642988590356;0.020242914979757085;0.002208317997791682;0.0180345969819654;0.00883327199116673;0.01361796098638204;0.0
Jebroer;0.0037583892617449664;0.011208053691275168;0.019194630872483225;0.0022147651006711407;0.012885906040268456;0.00436241610738255;0.0051677852348993285;0.0008724832214765099
Broederliefde;0.003465675945436398;0.008761228790063214;0.015304424975047134;0.0014139957857380505;0.009925695907729844;0.003160696462237995;0.003493401352999889;0.001081290894976156
Boef;0.004824344383968332;0.011009401286491836;0.01456580900544285;0.001979218208807521;0.012833993072736269;0.0020719940623453734;0.0033090054428500737;0.001793666501731816
Veldhuis&Kemper;0.005874169114237131;0.015922089967537488;0.019013757922399132;0.0024733343638893178;0.024115010047920854;0.006647086102952543;0.005874169114237131;0.001545833977430824
RoxeanneHazes;0.0031625553447185324;0.015812776723592662;0.02024035420619861;0.005376344086021507;0.021821631878557873;0.005692599620493359;0.009487666034155596;0.001265022137887413
DefRhymz;0.004597197898423818;0.012040280210157616;0.01576182136602452;0.0010945709281961473;0.029115586690017518;0.008318739054290718;0.0028458844133099825;0.001970227670753065
ThePartysquad;0.013749787811916485;0.0047530130707859435;0.019266677983364452;0.0005941266338482429;0.009421150908164998;0.001867255134951621;0.001867255134951621;0.012476659310813105
EllentenDamme;0.004809794490599038;0.02273721031919545;0.021862702229995628;0.010931351114997814;0.034980323567993;0.011368605159597726;0.009182334936598164;0.00043725404459991256
3js;0.003003566735498405;0.007978224141167637;0.0186784306363807;0.006570302233902759;0.029284775671109438;0.012483574244415242;0.006570302233902759;9.386146048432514e-05
DeKast;0.0019905999447055573;0.013270666298037049;0.013160077412220072;0.003428255460326237;0.01680951064418026;0.0049764998617638926;0.005031794304672379;5.529444290848771e-05
Linda,Roos&Jessica;0.001557632398753894;0.037383177570093455;0.020249221183800625;0.00778816199376947;0.03582554517133956;0.018691588785046728;0.010903426791277258;0.0
Fluitsma&VanTijn;0.0;0.018726591760299626;0.011235955056179777;0.003745318352059925;0.011235955056179777;0.003745318352059925;0.003745318352059925;0.0
BaasB;0.0053431976983148366;0.007398273736128238;0.011508425811755036;0.0016440608302507194;0.009453349773941636;0.00041101520756267986;0.002877106452938759;0.004932182490752158
GuusMeeuwis;0.0017030430690628785;0.013624344552503026;0.015013669161475372;0.003092367678035226;0.02778649217944696;0.012369470712140904;0.008201496885223859;4.481692287007574e-05
FransBauer;0.002407910241303345;0.014242532916645319;0.0247451201393514;0.002920231569240228;0.03166145806649931;0.018187407141759312;0.01767508581382243;0.0
